Disease,County,Year,Sex,Cases,Population
Anaplasmosis,Alameda,2001,Female,0,746596
Anaplasmosis,Alameda,2001,Male,0,718968
Anaplasmosis,Alameda,2001,Total,0,1465564
Anaplasmosis,Alameda,2002,Female,0,747987
Anaplasmosis,Alameda,2002,Male,0,720481
Anaplasmosis,Alameda,2002,Total,0,1468468
Anaplasmosis,Alameda,2003,Female,0,747441
Anaplasmosis,Alameda,2003,Male,0,719746
Anaplasmosis,Alameda,2003,Total,0,1467187
Anaplasmosis,Alameda,2004,Female,0,746723
Anaplasmosis,Alameda,2004,Male,0,718817
Anaplasmosis,Alameda,2004,Total,0,1465540
Anaplasmosis,Alameda,2005,Female,0,743878
Anaplasmosis,Alameda,2005,Male,0,716004
Anaplasmosis,Alameda,2005,Total,0,1459882
Anaplasmosis,Alameda,2006,Female,0,746458
Anaplasmosis,Alameda,2006,Male,0,718381
Anaplasmosis,Alameda,2006,Total,0,1464839
Anaplasmosis,Alameda,2007,Female,0,752302
Anaplasmosis,Alameda,2007,Male,0,724099
Anaplasmosis,Alameda,2007,Total,0,1476401
Anaplasmosis,Alameda,2008,Female,0,760122
Anaplasmosis,Alameda,2008,Male,0,731659
Anaplasmosis,Alameda,2008,Total,0,1491781
Anaplasmosis,Alameda,2009,Female,0,765745
Anaplasmosis,Alameda,2009,Male,0,738082
Anaplasmosis,Alameda,2009,Total,0,1503827
Anaplasmosis,Alameda,2010,Female,0,769699
Anaplasmosis,Alameda,2010,Male,0,740574
Anaplasmosis,Alameda,2010,Total,0,1510272
Anaplasmosis,Alameda,2011,Female,0,780616
Anaplasmosis,Alameda,2011,Male,0,753317
Anaplasmosis,Alameda,2011,Total,0,1535986
Anaplasmosis,Alameda,2012,Female,0,792053
Anaplasmosis,Alameda,2012,Male,0,764962
Anaplasmosis,Alameda,2012,Total,0,1560713
Anaplasmosis,Alameda,2013,Female,0,802514
Anaplasmosis,Alameda,2013,Male,0,776188
Anaplasmosis,Alameda,2013,Total,0,1584064
Anaplasmosis,Alameda,2014,Female,0,813897
Anaplasmosis,Alameda,2014,Male,0,787687
Anaplasmosis,Alameda,2014,Total,0,1608614
Anaplasmosis,Alameda,2015,Female,0,823802
Anaplasmosis,Alameda,2015,Male,0,798573
Anaplasmosis,Alameda,2015,Total,0,1630159
Anaplasmosis,Alameda,2016,Female,1,831872
Anaplasmosis,Alameda,2016,Male,0,807094
Anaplasmosis,Alameda,2016,Total,1,1647332
Anaplasmosis,Alameda,2017,Female,0,837364
Anaplasmosis,Alameda,2017,Male,1,813388
Anaplasmosis,Alameda,2017,Total,1,1659750
Anaplasmosis,Alameda,2018,Female,0,841950
Anaplasmosis,Alameda,2018,Male,0,818147
Anaplasmosis,Alameda,2018,Total,0,1669659
Anaplasmosis,Alameda,2019,Female,0,846359
Anaplasmosis,Alameda,2019,Male,1,822606
Anaplasmosis,Alameda,2019,Total,1,1678926
Anaplasmosis,Alameda,2020,Female,0,848028
Anaplasmosis,Alameda,2020,Male,0,823827
Anaplasmosis,Alameda,2020,Total,0,1676458
Anaplasmosis,Alameda,2021,Female,1,851290
Anaplasmosis,Alameda,2021,Male,0,827044
Anaplasmosis,Alameda,2021,Total,1,1654938
Anaplasmosis,Alameda,2022,Female,0,856569
Anaplasmosis,Alameda,2022,Male,0,832969
Anaplasmosis,Alameda,2022,Total,0,1638979
